credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr
Federal Travel 2,premium_points,online_cashback,5.35,shopping,Federal Bank,3268
IndusInd Legend 3,premium_points,golf_membership,5.46,dining,IndusInd Bank,9786
Canara Smart 1,cashback,accelerated_rewards,0.9,business,Canara Bank,609
Airtel Premium,dining_rewards,insurance_coverage,3.33,travel,Airtel Payments Bank,1960
HDFC Diners 1,travel_points,milestone_rewards,3.9,online_spends,HDFC Bank,1495
Federal Signature,travel_points,welcome_bonus,4.89,shopping,Federal Bank,4688
ICICI Merchant,cashback,movie_discounts,0.97,online_spends,ICICI Bank,2532
IDFC FIRST Travel 2,fuel_rewards,concierge_service,4.24,fuel,IDFC First Bank,6370
Union Elite,travel_points,online_cashback,4.88,fuel,Union Bank of India,9706
ICICI MakeMyTrip 1,travel_points,online_cashback,3.88,luxury,ICICI Bank,1363
Federal Plus 2,fuel_rewards,fuel_surcharge_waiver,3.13,online_spends,Federal Bank,5583
ICICI MakeMyTrip,premium_points,insurance_coverage,3.98,luxury,ICICI Bank,7634
Yes Reserve 4,premium_points,golf_membership,5.21,business,Yes Bank,8816
RBL Business Ultra 1,premium_points,dining_discounts,5.76,fuel,RBL Bank,9197
Kotak Urban,travel_points,dining_discounts,3.52,groceries,Kotak Mahindra,1325
IDFC FIRST Exclusive,dining_rewards,accelerated_rewards,3.02,business,IDFC First Bank,4542
Kotak Emerald,fuel_rewards,insurance_coverage,3.89,dining,Kotak Mahindra,4545
Axis Ace,travel_points,airport_lounge_access,4.48,travel,Axis Bank,6841
BOB Travel 1,cashback,online_cashback,0.87,shopping,Bank of Baroda,1252
Union Rewards,shopping_rewards,airport_lounge_access,1.63,dining,Union Bank of India,6913
Union Privilege 8,fuel_rewards,golf_membership,2.68,travel,Union Bank of India,1718
IndusInd Merchant 2,travel_points,grocery_cashback,3.72,luxury,IndusInd Bank,6797
SBI Cashback 2,fuel_rewards,movie_discounts,4.34,online_spends,SBI,4699
IndusInd Legend 2,fuel_rewards,priority_checkout,3.81,travel,IndusInd Bank,7093
Federal Plus 1,shopping_rewards,grocery_cashback,2.84,travel,Federal Bank,4922
Yes Reserve 3,shopping_rewards,accelerated_rewards,2.9,shopping,Yes Bank,6477
IDFC FIRST Digital 2,fuel_rewards,insurance_coverage,2.1,luxury,IDFC First Bank,5740
Axis Vistara 1,dining_rewards,milestone_rewards,3.24,fuel,Axis Bank,2341
Axis Vistara 3,dining_rewards,golf_membership,3.2,luxury,Axis Bank,5299
BOB Premium 1,travel_points,dining_discounts,4.04,travel,Bank of Baroda,1682
Yes Elite,shopping_rewards,movie_discounts,3.88,fuel,Yes Bank,4077
Federal Exclusive 2,dining_rewards,online_cashback,2.69,business,Federal Bank,5373
ICICI Amazon,dining_rewards,online_cashback,4.93,travel,ICICI Bank,3528
SBI Cashback,travel_points,accelerated_rewards,4.27,luxury,SBI,7395
Canara Elite,cashback,online_cashback,1.7,fuel,Canara Bank,1287
SBI SimplyCLICK 1,dining_rewards,concierge_service,3.21,shopping,SBI,4277
Yes Elite 1,dining_rewards,welcome_bonus,2.73,travel,Yes Bank,3438
Federal Prestige 1,dining_rewards,online_cashback,3.49,fuel,Federal Bank,1451
Federal Travel,dining_rewards,milestone_rewards,4.27,travel,Federal Bank,1103
BOB Gold,shopping_rewards,dining_discounts,3.3,business,Bank of Baroda,1750
ICICI Air 1,shopping_rewards,fuel_surcharge_waiver,2.13,fuel,ICICI Bank,2136
Axis Flipkart 1,dining_rewards,welcome_bonus,3.18,dining,Axis Bank,5722
IndusInd Multicurrency,dining_rewards,accelerated_rewards,4.94,online_spends,IndusInd Bank,9602
HDFC Regalia 1,shopping_rewards,concierge_service,2.42,online_spends,HDFC Bank,3234
Axis Insta Business,cashback,golf_membership,0.61,dining,Axis Bank,2975
IndusInd Pinnacle 5,cashback,priority_checkout,0.7,luxury,IndusInd Bank,1252
SBI SimplyCLICK,fuel_rewards,insurance_coverage,2.85,shopping,SBI,6794
Canara Business 1,dining_rewards,fuel_surcharge_waiver,3.55,travel,Canara Bank,7458
Axis Urban Plus 2,dining_rewards,dining_discounts,4.03,fuel,Axis Bank,3647
Union Privilege 2,cashback,priority_checkout,1.87,travel,Union Bank of India,398
BOB Rewards 1,shopping_rewards,milestone_rewards,2.05,travel,Bank of Baroda,6157
IndusInd Travel,fuel_rewards,insurance_coverage,4.25,fuel,IndusInd Bank,5631
RBL Elite 2,travel_points,accelerated_rewards,4.52,shopping,RBL Bank,5412
Federal Rewards 2,premium_points,golf_membership,2.82,travel,Federal Bank,7024
BOB Plus 1,cashback,grocery_cashback,0.79,shopping,Bank of Baroda,826
Canara Elite 1,fuel_rewards,movie_discounts,4.41,dining,Canara Bank,4777
BOB Elite 2,premium_points,concierge_service,5.66,luxury,Bank of Baroda,3128
Federal Signature 3,cashback,airport_lounge_access,1.94,groceries,Federal Bank,6201
Canara Premium 2,shopping_rewards,international_travel,3.58,online_spends,Canara Bank,1779
Union Premium,cashback,business_expenses,1.31,travel,Union Bank of India,2769
RBL Elite 1,fuel_rewards,business_expenses,3.97,travel,RBL Bank,1620
SBI BPCL 1,fuel_rewards,business_expenses,3.59,online_spends,SBI,2193
Kotak Emerald 1,dining_rewards,grocery_cashback,4.21,business,Kotak Mahindra,6378
Airtel Elite,cashback,milestone_rewards,1.35,travel,Airtel Payments Bank,2660
Federal Signature 2,dining_rewards,international_travel,3.45,travel,Federal Bank,701
HDFC Smartbuy 3,shopping_rewards,golf_membership,3.02,travel,HDFC Bank,5776
Canara Smart,premium_points,international_travel,5.66,shopping,Canara Bank,7975
Axis BUZZ,shopping_rewards,fuel_surcharge_waiver,1.83,groceries,Axis Bank,5725
Canara CashBack,premium_points,fuel_surcharge_waiver,4.97,dining,Canara Bank,3804
Kotak Rewards 1,premium_points,online_cashback,2.07,shopping,Kotak Mahindra,4582
Kotak 811,fuel_rewards,online_cashback,4.35,travel,Kotak Mahindra,6036
Yes Reserve 6,shopping_rewards,movie_discounts,2.88,travel,Yes Bank,6690
Union Privilege 5,travel_points,milestone_rewards,3.07,fuel,Union Bank of India,6507
HDFC Regalia 2,shopping_rewards,priority_checkout,2.74,fuel,HDFC Bank,6849
RBL Silver 4,shopping_rewards,golf_membership,2.49,business,RBL Bank,3728
Union Privilege,dining_rewards,concierge_service,4.04,shopping,Union Bank of India,810
Airtel Platinum 1,travel_points,priority_checkout,3.17,online_spends,Airtel Payments Bank,6677
Kotak Business,shopping_rewards,concierge_service,1.93,dining,Kotak Mahindra,2570
Canara Travel 2,shopping_rewards,golf_membership,3.43,dining,Canara Bank,4350
Kotak Rewards 2,cashback,golf_membership,1.48,shopping,Kotak Mahindra,1625
IndusInd Momentum,dining_rewards,airport_lounge_access,3.02,travel,IndusInd Bank,7083
Federal Timeline 1,fuel_rewards,welcome_bonus,3.61,travel,Federal Bank,6730
IndusInd Digital,dining_rewards,milestone_rewards,4.32,shopping,IndusInd Bank,4678
Canara Business 2,dining_rewards,dining_discounts,4.16,shopping,Canara Bank,2208
RBL Platinum,dining_rewards,concierge_service,3.09,shopping,RBL Bank,3121
Canara Business,travel_points,grocery_cashback,4.73,travel,Canara Bank,6908
RBL Gold 1,shopping_rewards,fuel_surcharge_waiver,3.31,fuel,RBL Bank,594
Union Gold,premium_points,fuel_surcharge_waiver,5.41,online_spends,Union Bank of India,6888
SBI Elite 1,premium_points,business_expenses,3.57,business,SBI,5854
Kotak Emerald 2,travel_points,golf_membership,3.41,dining,Kotak Mahindra,4607
Union Privilege 7,cashback,international_travel,1.84,shopping,Union Bank of India,1290
ICICI Air,shopping_rewards,concierge_service,2.54,fuel,ICICI Bank,2163
Canara Premium 1,cashback,online_cashback,0.81,business,Canara Bank,914
Yes Reserve,shopping_rewards,insurance_coverage,3.87,luxury,Yes Bank,2656
RBL Silver 2,premium_points,golf_membership,5.6,online_spends,RBL Bank,8484
IndusInd Momentum 1,premium_points,online_cashback,4.82,luxury,IndusInd Bank,7359
HDFC Regalia,dining_rewards,grocery_cashback,2.96,dining,HDFC Bank,3592
Axis Urban Plus 1,cashback,airport_lounge_access,1.53,shopping,Axis Bank,7229
RBL Silver,premium_points,concierge_service,3.65,luxury,RBL Bank,4104
SBI Elite,fuel_rewards,insurance_coverage,3.63,groceries,SBI,660
ICICI Bank Platinum,dining_rewards,airport_lounge_access,3.36,fuel,ICICI Bank,8257
Union Privilege 3,cashback,welcome_bonus,1.52,fuel,Union Bank of India,2041
Canara Travel 1,shopping_rewards,priority_checkout,2.34,shopping,Canara Bank,5302
BOB Business,fuel_rewards,accelerated_rewards,4.12,dining,Bank of Baroda,6622
Union Smart,fuel_rewards,concierge_service,3.9,travel,Union Bank of India,6859
Axis MyDining 1,fuel_rewards,priority_checkout,3.99,fuel,Axis Bank,4175
Airtel Gold 2,fuel_rewards,concierge_service,2.22,luxury,Airtel Payments Bank,4235
SBI Cashback 5,fuel_rewards,airport_lounge_access,3.92,groceries,SBI,3743
BOB Plus 2,dining_rewards,concierge_service,3.69,groceries,Bank of Baroda,1434
BOB Plus,travel_points,airport_lounge_access,4.18,luxury,Bank of Baroda,8413
Yes Elite 3,cashback,movie_discounts,1.39,online_spends,Yes Bank,1810
HDFC EZY Dining 1,premium_points,business_expenses,4.19,dining,HDFC Bank,7298
Axis Flipkart,dining_rewards,dining_discounts,2.7,travel,Axis Bank,4631
Kotak Business 3,cashback,concierge_service,0.86,travel,Kotak Mahindra,2109
Federal Plus,dining_rewards,airport_lounge_access,4.79,dining,Federal Bank,6658
IndusInd Pinnacle 2,dining_rewards,business_expenses,5.0,fuel,IndusInd Bank,3960
ICICI FBB,fuel_rewards,welcome_bonus,3.74,shopping,ICICI Bank,3229
Union Privilege 10,dining_rewards,fuel_surcharge_waiver,4.34,business,Union Bank of India,1474
Canara Privilege 1,premium_points,airport_lounge_access,5.12,shopping,Canara Bank,9825
SBI Business 3,cashback,golf_membership,0.79,business,SBI,658
Axis Privilege 2,shopping_rewards,concierge_service,3.12,business,Axis Bank,3201
Kotak League 1,dining_rewards,milestone_rewards,3.69,shopping,Kotak Mahindra,2979
Canara Gold 1,travel_points,accelerated_rewards,3.33,travel,Canara Bank,3366
SBI Prime 1,cashback,online_cashback,0.92,business,SBI,2255
Airtel Platinum 2,shopping_rewards,business_expenses,3.99,shopping,Airtel Payments Bank,967
Kotak Emerald 3,fuel_rewards,movie_discounts,4.48,shopping,Kotak Mahindra,5604
Yes Reserve 1,travel_points,concierge_service,4.95,luxury,Yes Bank,7229
ICICI Pockets 2,cashback,fuel_surcharge_waiver,0.9,shopping,ICICI Bank,2267
BOB Elite 1,premium_points,grocery_cashback,4.55,travel,Bank of Baroda,9109
RBL SuperCard 1,dining_rewards,concierge_service,3.0,fuel,RBL Bank,5320
HDFC TimesPoints,shopping_rewards,online_cashback,1.86,online_spends,HDFC Bank,1269
Canara Privilege 2,travel_points,fuel_surcharge_waiver,4.8,luxury,Canara Bank,3304
Kotak League 2,travel_points,airport_lounge_access,4.15,travel,Kotak Mahindra,7552
IDFC FIRST Wealth,shopping_rewards,international_travel,1.67,shopping,IDFC First Bank,6696
SBI Prime,premium_points,dining_discounts,4.78,groceries,SBI,8787
Airtel Gold 1,dining_rewards,dining_discounts,2.88,business,Airtel Payments Bank,3063
Axis Privilege 1,dining_rewards,international_travel,3.57,luxury,Axis Bank,3670
Union Privilege 6,fuel_rewards,airport_lounge_access,3.49,dining,Union Bank of India,4414
RBL Silver 3,shopping_rewards,golf_membership,3.49,travel,RBL Bank,2535
IDFC FIRST Business 3,travel_points,concierge_service,4.49,fuel,IDFC First Bank,5931
Yes Reserve 5,dining_rewards,international_travel,2.61,fuel,Yes Bank,3311
BOB Travel,cashback,international_travel,1.66,travel,Bank of Baroda,2760
IndusInd Pinnacle 3,dining_rewards,concierge_service,3.63,travel,IndusInd Bank,4646
Canara Premium,fuel_rewards,accelerated_rewards,2.58,luxury,Canara Bank,827
HDFC MoneyBack,dining_rewards,international_travel,4.02,travel,HDFC Bank,6810
SBI BPCL,shopping_rewards,grocery_cashback,3.72,travel,SBI,4491
RBL Tiara,cashback,insurance_coverage,1.82,shopping,RBL Bank,2343
IDFC FIRST Digital 1,premium_points,airport_lounge_access,2.35,dining,IDFC First Bank,8876
Canara Travel,premium_points,fuel_surcharge_waiver,3.17,luxury,Canara Bank,6925
Axis Insta Business 2,premium_points,movie_discounts,2.21,online_spends,Axis Bank,6642
SBI Cashback 3,premium_points,concierge_service,2.04,travel,SBI,2598
Airtel Gold 3,premium_points,insurance_coverage,4.67,shopping,Airtel Payments Bank,3346
BOB Gold 1,cashback,golf_membership,1.12,fuel,Bank of Baroda,1639
Federal Signature 1,travel_points,online_cashback,3.14,dining,Federal Bank,4033
HDFC Millennia 2,travel_points,dining_discounts,3.23,travel,HDFC Bank,6459
Canara Privilege 3,shopping_rewards,milestone_rewards,2.02,online_spends,Canara Bank,4552
HDFC BusinessFirst 1,dining_rewards,grocery_cashback,4.32,online_spends,HDFC Bank,2070
HDFC Regalia 3,travel_points,dining_discounts,3.19,luxury,HDFC Bank,4145
HDFC TimesPoints 1,cashback,business_expenses,0.96,dining,HDFC Bank,747
IndusInd Merchant,dining_rewards,online_cashback,2.83,dining,IndusInd Bank,4985
Axis Privilege,premium_points,online_cashback,5.66,groceries,Axis Bank,8364
IDFC FIRST Select,travel_points,airport_lounge_access,4.79,online_spends,IDFC First Bank,4253
Airtel Premium 2,fuel_rewards,fuel_surcharge_waiver,2.13,business,Airtel Payments Bank,509
HDFC EZY Dining,fuel_rewards,movie_discounts,2.96,business,HDFC Bank,2028
Federal Travel 1,dining_rewards,movie_discounts,2.91,online_spends,Federal Bank,3530
Federal Exclusive,premium_points,airport_lounge_access,2.4,luxury,Federal Bank,4139
BOB Elite,cashback,priority_checkout,0.9,groceries,Bank of Baroda,1762
SBI SimplyClick 1,cashback,airport_lounge_access,1.27,shopping,SBI,9540
Federal Timeline,fuel_rewards,accelerated_rewards,3.13,fuel,Federal Bank,5471
RBL SuperCard,dining_rewards,insurance_coverage,2.51,fuel,RBL Bank,3458
Yes MARC 2,premium_points,golf_membership,3.97,shopping,Yes Bank,3743
IndusInd Legend,premium_points,welcome_bonus,3.82,dining,IndusInd Bank,7627
HDFC BusinessFirst,shopping_rewards,fuel_surcharge_waiver,3.85,business,HDFC Bank,5551
Axis Ace 2,travel_points,international_travel,3.05,online_spends,Axis Bank,3338
IDFC FIRST Travel 1,fuel_rewards,fuel_surcharge_waiver,4.05,groceries,IDFC First Bank,5277
RBL Silver 1,premium_points,golf_membership,2.19,business,RBL Bank,6350
Airtel Elite 1,cashback,online_cashback,0.62,luxury,Airtel Payments Bank,1063
Union Elite 1,shopping_rewards,grocery_cashback,3.07,groceries,Union Bank of India,1762
HDFC Smartbuy 5,fuel_rewards,accelerated_rewards,3.98,dining,HDFC Bank,4061
Yes Preferred 1,travel_points,grocery_cashback,4.48,dining,Yes Bank,1394
ICICI MakeMyTrip 2,shopping_rewards,concierge_service,2.39,travel,ICICI Bank,6004
Union Privilege 1,travel_points,priority_checkout,3.18,luxury,Union Bank of India,4935
Canara Gold,fuel_rewards,airport_lounge_access,4.24,shopping,Canara Bank,5686
RBL Business Ultra,cashback,online_cashback,0.81,fuel,RBL Bank,2560
Axis Vistara,premium_points,priority_checkout,3.43,fuel,Axis Bank,5037
Kotak White,travel_points,movie_discounts,4.9,shopping,Kotak Mahindra,5751
IDFC FIRST Elite,premium_points,welcome_bonus,2.94,luxury,IDFC First Bank,4625
ICICI Air 2,fuel_rewards,airport_lounge_access,2.92,luxury,ICICI Bank,6889
Axis Urban Plus,cashback,fuel_surcharge_waiver,0.98,travel,Axis Bank,1758
Yes Elite 2,shopping_rewards,milestone_rewards,3.22,groceries,Yes Bank,3824
Airtel Gold 4,dining_rewards,priority_checkout,3.77,groceries,Airtel Payments Bank,7488
Union Gold 1,premium_points,concierge_service,4.4,dining,Union Bank of India,8869
BOB Business 1,shopping_rewards,business_expenses,3.92,shopping,Bank of Baroda,7167
IDFC FIRST Select 1,cashback,online_cashback,0.63,dining,IDFC First Bank,1715
Federal Business 2,cashback,business_expenses,1.8,shopping,Federal Bank,474
RBL Gold,cashback,airport_lounge_access,0.85,luxury,RBL Bank,7098
Yes Smart,cashback,accelerated_rewards,0.98,fuel,Yes Bank,2224
Union Elite 3,dining_rewards,welcome_bonus,3.15,online_spends,Union Bank of India,1306
Yes MARC 1,dining_rewards,movie_discounts,3.43,travel,Yes Bank,1010
BOB Elite 3,fuel_rewards,dining_discounts,2.85,luxury,Bank of Baroda,4959
Axis Ace 1,premium_points,accelerated_rewards,3.21,groceries,Axis Bank,5160
Airtel Premium 1,travel_points,welcome_bonus,3.56,dining,Airtel Payments Bank,6969
ICICI Pockets,fuel_rewards,movie_discounts,3.07,dining,ICICI Bank,6364
BOB Cashback,travel_points,grocery_cashback,3.79,online_spends,Bank of Baroda,5001
ICICI Merchant 1,dining_rewards,golf_membership,3.85,groceries,ICICI Bank,7168
Union Elite 4,fuel_rewards,milestone_rewards,3.28,fuel,Union Bank of India,4821
IndusInd Select Business 2,fuel_rewards,movie_discounts,4.26,travel,IndusInd Bank,4761
Yes MARC,travel_points,golf_membership,3.29,dining,Yes Bank,6041
Airtel Platinum 3,travel_points,golf_membership,4.98,business,Airtel Payments Bank,6213
Federal Rewards 1,premium_points,fuel_surcharge_waiver,2.88,dining,Federal Bank,5620
IDFC FIRST Elite 1,cashback,welcome_bonus,1.61,shopping,IDFC First Bank,1062
Federal Prestige,cashback,dining_discounts,1.8,fuel,Federal Bank,935
HDFC Smartbuy,cashback,priority_checkout,1.29,shopping,HDFC Bank,2047
Yes Bank Prosperity 1,cashback,priority_checkout,1.54,travel,Yes Bank,1396
IDFC FIRST Select 2,dining_rewards,business_expenses,4.67,fuel,IDFC First Bank,4406
ICICI Sapphiro,premium_points,business_expenses,4.53,groceries,ICICI Bank,7647
IndusInd Legend 1,shopping_rewards,grocery_cashback,3.12,shopping,IndusInd Bank,1039
Canara CashBack 2,travel_points,concierge_service,3.81,shopping,Canara Bank,4129
RBL Wealth,premium_points,grocery_cashback,2.27,fuel,RBL Bank,5610
Axis Vistara 2,premium_points,milestone_rewards,3.31,luxury,Axis Bank,5761
IndusInd Select Business,fuel_rewards,airport_lounge_access,3.42,shopping,IndusInd Bank,4652
Airtel Platinum,shopping_rewards,milestone_rewards,2.68,fuel,Airtel Payments Bank,732
IDFC FIRST Business 2,fuel_rewards,fuel_surcharge_waiver,3.29,dining,IDFC First Bank,7277
Union Business 1,fuel_rewards,grocery_cashback,2.56,dining,Union Bank of India,2530
SBI Cashback 1,cashback,dining_discounts,1.54,shopping,SBI,2919
Canara Elite 2,cashback,welcome_bonus,1.15,fuel,Canara Bank,1523
Union Rewards 1,dining_rewards,priority_checkout,2.64,luxury,Union Bank of India,3236
HDFC Smartbuy 4,shopping_rewards,priority_checkout,2.23,fuel,HDFC Bank,6118
IndusInd Merchant 1,cashback,fuel_surcharge_waiver,1.67,business,IndusInd Bank,1262
BOB Premium,dining_rewards,accelerated_rewards,2.73,travel,Bank of Baroda,3504
Kotak Rewards,travel_points,milestone_rewards,4.25,business,Kotak Mahindra,3316
IDFC FIRST Plus,premium_points,golf_membership,2.63,travel,IDFC First Bank,7645
Yes Bank Prosperity,cashback,welcome_bonus,1.52,online_spends,Yes Bank,504
ICICI Amazon 1,premium_points,insurance_coverage,4.04,online_spends,ICICI Bank,6248
Yes Elite 4,shopping_rewards,grocery_cashback,2.21,travel,Yes Bank,5529
SBI Cashback 4,cashback,movie_discounts,1.24,business,SBI,1919
Union Privilege 4,shopping_rewards,grocery_cashback,1.66,groceries,Union Bank of India,5929
HDFC TimesPoints 2,dining_rewards,international_travel,3.18,business,HDFC Bank,4493
Kotak League,dining_rewards,concierge_service,2.74,online_spends,Kotak Mahindra,5553
Federal Exclusive 1,cashback,dining_discounts,1.89,travel,Federal Bank,2861
Union Privilege 9,travel_points,insurance_coverage,4.72,luxury,Union Bank of India,6635
RBL Elite 3,premium_points,priority_checkout,4.15,groceries,RBL Bank,8496
ICICI Pockets 1,fuel_rewards,grocery_cashback,2.67,luxury,ICICI Bank,3945
Axis Privilege 3,premium_points,business_expenses,4.36,travel,Axis Bank,4215
ICICI MakeMyTrip 3,dining_rewards,business_expenses,3.72,business,ICICI Bank,6890
Axis Insta Business 1,fuel_rewards,welcome_bonus,2.84,shopping,Axis Bank,5429
Canara Privilege,fuel_rewards,concierge_service,2.61,business,Canara Bank,3691
Federal Business 1,cashback,business_expenses,0.51,fuel,Federal Bank,574
HDFC Millennia,travel_points,accelerated_rewards,3.31,fuel,HDFC Bank,6731
HDFC Diners,shopping_rewards,concierge_service,3.86,shopping,HDFC Bank,2541
Yes Preferred,premium_points,milestone_rewards,4.8,travel,Yes Bank,5493
Canara CashBack 1,premium_points,international_travel,2.27,travel,Canara Bank,9641
Union Elite 2,cashback,online_cashback,0.86,dining,Union Bank of India,1165
BOB Cashback 1,fuel_rewards,international_travel,3.83,travel,Bank of Baroda,2250
BOB Rewards,travel_points,airport_lounge_access,4.38,luxury,Bank of Baroda,6607
IndusInd Legend 5,premium_points,fuel_surcharge_waiver,4.43,online_spends,IndusInd Bank,3858
Airtel Business,fuel_rewards,business_expenses,4.16,online_spends,Airtel Payments Bank,3428
Airtel Plus,premium_points,movie_discounts,4.84,travel,Airtel Payments Bank,7127
IndusInd Select Business 1,cashback,dining_discounts,0.52,online_spends,IndusInd Bank,475
SBI SimplyClick,fuel_rewards,movie_discounts,4.02,business,SBI,2234
Axis MyDining,travel_points,concierge_service,4.86,business,Axis Bank,7221
Axis Flipkart 2,travel_points,business_expenses,3.48,business,Axis Bank,4172
SBI Business,cashback,accelerated_rewards,0.73,online_spends,SBI,2511
IDFC FIRST Travel,cashback,priority_checkout,1.19,fuel,IDFC First Bank,1935
HDFC Smartbuy 1,travel_points,movie_discounts,3.2,groceries,HDFC Bank,5986
Airtel Rewards,premium_points,welcome_bonus,3.31,travel,Airtel Payments Bank,8788
RBL Elite,shopping_rewards,concierge_service,3.91,dining,RBL Bank,875
BOB Gold 2,fuel_rewards,golf_membership,3.4,shopping,Bank of Baroda,630
IDFC FIRST Digital,dining_rewards,grocery_cashback,2.87,travel,IDFC First Bank,5949
IndusInd Pinnacle 4,premium_points,concierge_service,5.87,online_spends,IndusInd Bank,7358
Union Business,travel_points,accelerated_rewards,4.98,luxury,Union Bank of India,4304
IndusInd Legend 4,travel_points,online_cashback,3.95,fuel,IndusInd Bank,4863
IndusInd Pinnacle 1,fuel_rewards,priority_checkout,3.49,travel,IndusInd Bank,4425
IDFC FIRST Business,shopping_rewards,milestone_rewards,2.24,fuel,IDFC First Bank,2628
Kotak Business 2,dining_rewards,milestone_rewards,3.21,dining,Kotak Mahindra,3004
ICICI FBB 1,cashback,concierge_service,1.11,travel,ICICI Bank,2489
RBL Tiara 1,fuel_rewards,grocery_cashback,4.4,online_spends,RBL Bank,3705
Federal Business,fuel_rewards,movie_discounts,4.33,business,Federal Bank,5943
Federal Rewards,fuel_rewards,insurance_coverage,2.62,luxury,Federal Bank,5799
Kotak White 1,cashback,accelerated_rewards,1.8,groceries,Kotak Mahindra,1687
IndusInd Pinnacle,cashback,movie_discounts,0.96,dining,IndusInd Bank,2779
Kotak Rewards 3,premium_points,welcome_bonus,4.25,travel,Kotak Mahindra,6266
HDFC Smartbuy 2,shopping_rewards,movie_discounts,1.96,shopping,HDFC Bank,1521
SBI Business 2,fuel_rewards,airport_lounge_access,3.64,business,SBI,7055
RBL Platinum 1,dining_rewards,airport_lounge_access,4.45,online_spends,RBL Bank,4743
RBL Business Ultra 2,fuel_rewards,milestone_rewards,3.41,fuel,RBL Bank,2616
Yes Business Plus,shopping_rewards,online_cashback,3.9,groceries,Yes Bank,4860
Yes Reserve 2,fuel_rewards,accelerated_rewards,4.22,fuel,Yes Bank,7301
Canara Premium 3,cashback,accelerated_rewards,0.71,online_spends,Canara Bank,2051
Kotak Business 1,travel_points,golf_membership,4.26,business,Kotak Mahindra,1228
HDFC EZY Dining 2,premium_points,insurance_coverage,2.78,online_spends,HDFC Bank,8939
SBI Pulse,fuel_rewards,accelerated_rewards,3.48,groceries,SBI,7046
Airtel Rewards 1,shopping_rewards,milestone_rewards,1.79,online_spends,Airtel Payments Bank,4915
Yes Smart 1,fuel_rewards,milestone_rewards,3.81,shopping,Yes Bank,5049
IDFC FIRST Business 1,shopping_rewards,grocery_cashback,1.95,travel,IDFC First Bank,3766
SBI BPCL 2,travel_points,airport_lounge_access,3.7,groceries,SBI,9522
Federal Prestige 2,travel_points,online_cashback,3.99,luxury,Federal Bank,6516
HDFC Millennia 1,dining_rewards,dining_discounts,2.69,travel,HDFC Bank,5963
SBI Business 1,premium_points,international_travel,5.59,business,SBI,6590
Airtel Gold,shopping_rewards,fuel_surcharge_waiver,3.11,fuel,Airtel Payments Bank,2475